Roll no,gender,Division,test preparation course,Science,Maths,English
481,female, B,none,76,88,84
482,female, C,none,77,79,83
483,female, E,none,83,81,83
484,female, C,none,71,78,82
485,male, D,completed,86,91,89
486,male, B,none,93,96,96
487,female, B,none,60,64,60
488,female, D,none,57,56,58
489,male, C,none,84,79,74
490,female, D,none,66,71,75
491,male, D,none,85,69,74
492,female, D,completed,57,68,76
493,female, C,none,41,49,49
494,female, C,none,75,76,76
495,male, D,none,65,63,60
496,male, E,none,78,65,60
497,female, B,none,26,34,28
498,male, E,none,71,64,66
499,male, B,completed,86,92,93
500,male, B,completed,89,84,81
501,female, B,none,53,64,63
502,female, C,none,87,87,92
503,male, D,none,71,57,59
504,male, D,none,77,80,72
505,female, C,completed,43,48,53
506,female, C,none,88,91,86
507,male, E,none,86,76,63
508,female, E,completed,45,56,55
509,male, C,none,69,56,57
510,female, D,none,65,70,72
511,male, E,none,81,79,71
512,female, A,none,90,88,86
513,female, E,none,78,72,71
514,female, C,completed,71,79,89
515,female, C,none,75,80,72
516,male, C,none,70,60,56
517,male, B,none,54,52,48
518,male, B,none,49,36,32
519,male, B,completed,80,82,82
520,female, E,none,78,89,93
521,male, C,none,89,77,82
522,female, C,completed,65,83,82
523,male, D,none,78,74,71
524,female, D,none,69,85,78
525,male, D,none,49,47,48
526,female, D,none,50,64,66
527,female, E,none,79,76,71
528,female, D,completed,89,92,97
529,male, A,completed,48,61,59
530,female, A,none,63,67,71
531,female, C,none,88,100,88
532,female, D,none,66,73,73
533,female, B,none,45,59,56
534,female, E,completed,62,78,73
535,male, D,completed,74,80,86
536,female, D,none,82,87,90
537,male, E,completed,83,63,63
538,female, D,completed,60,72,76
539,female, D,none,66,73,72
540,male, C,none,76,66,68
541,male, B,completed,75,74,76
542,male, B,completed,77,72,79
543,female, E,none,82,88,86
544,male, C,completed,63,59,60
545,female, D,none,70,85,85
546,male, D,completed,84,71,76
547,male, C,completed,68,60,63
548,male, C,none,56,58,50
549,female, C,none,37,46,43
550,female, D,none,49,56,53
551,female, E,completed,100,100,100
552,male, D,none,83,68,65
553,female, E,completed,92,100,98
554,male, E,none,71,62,66
555,male, D,completed,72,76,73
556,female, D,none,37,53,48
557,male, C,none,35,43,35
558,male, C,none,69,68,62
559,female, C,none,65,73,81
560,male, E,none,56,48,36
561,female, D,none,40,46,57
562,female, E,none,60,62,60
563,female, C,none,57,66,73
564,female, C,completed,58,62,66
565,female, D,completed,74,95,94
566,female, B,none,77,77,83
567,male, E,none,66,57,53
568,female, D,completed,62,79,87
569,male, C,none,29,38,27
570,female, B,none,70,73,66
571,male, A,none,67,64,60
572,female, C,completed,81,91,94
573,male, C,none,56,50,43
574,female, D,none,61,79,76
575,female, D,completed,47,54,56
576,male, A,completed,88,87,94
577,male, C,completed,51,52,52
578,male, C,none,68,60,62
579,female, B,none,68,71,71
580,female, B,none,47,49,50
581,male, E,completed,84,77,82
582,male, B,none,69,72,68
583,female, D,completed,52,69,75
584,male, B,none,80,79,79
585,male, C,none,100,84,88
586,male, C,completed,53,59,64
587,female, B,completed,59,73,74
588,female, B,none,78,96,89
589,female, B,none,84,87,89
590,female, C,none,52,72,71
591,male, C,none,81,78,75
592,female, C,completed,90,95,100
593,female, A,none,63,73,66
594,male, D,completed,100,97,100
595,female, B,none,56,63,62
596,female, B,none,46,54,54
597,female, B,completed,75,85,90
598,female, A,none,46,51,54
599,male, A,none,42,40,40
600,female, C,completed,77,86,90
601,female, C,none,40,63,56
602,female, D,none,69,71,76
603,male, C,none,43,50,45
604,female, C,completed,69,75,71
605,female, D,completed,89,93,100
606,male, B,none,44,34,36
607,male, D,completed,82,83,77
608,male, D,none,72,72,65
609,male, C,none,64,53,50
610,male, D,none,89,73,70
611,male, E,none,58,53,54
612,female, A,completed,63,81,78
613,female, A,none,54,66,69
614,male, C,completed,83,78,82
615,female, C,none,57,74,64
616,female, C,none,52,47,48
617,female, D,completed,75,93,97
618,male, E,completed,67,66,64
619,male, B,none,58,60,53
620,female, B,none,63,66,68
621,female, D,none,49,64,57
622,female, D,none,38,47,52
623,female, B,completed,74,85,84
624,male, C,completed,69,84,82
625,female, D,none,77,82,80
626,female, A,none,40,59,59
627,female, B,completed,96,98,100
628,female, B,none,85,86,85
629,male, D,none,85,77,76
630,male, C,none,72,59,54
631,female, B,none,63,78,73
632,male, B,none,58,67,58
633,male, B,none,58,64,54
634,male, C,none,51,57,53
635,female, D,completed,100,100,100
636,female, D,none,77,84,92
637,male, E,none,63,56,56
638,female, C,none,64,67,68
639,male, E,none,100,82,80
640,male, C,none,66,65,65
641,male, E,none,87,87,84
642,male, C,none,73,72,69
643,male, C,completed,69,66,65
644,female, C,none,62,64,63
645,female, C,none,40,48,49
646,male, C,completed,55,68,60
647,male, D,completed,77,77,78
648,male, D,completed,63,70,71
649,male, D,completed,85,85,91
650,female, B,none,30,43,40
651,male, B,none,82,77,71
652,male, D,completed,81,71,70
653,female, C,completed,92,100,97
654,male, B,none,50,48,36
655,female, B,none,54,60,56
656,male, C,completed,76,83,78
657,female, D,none,60,68,74
658,female, A,completed,45,72,66
659,male, D,none,80,77,72
660,male, D,none,52,45,48
661,female, C,completed,90,89,97
662,female, D,none,53,65,69
663,female, C,none,92,95,95
664,female, C,completed,63,78,75
665,female, B,none,71,77,79
666,female, D,none,64,70,73
667,female, C,completed,67,81,89
668,male, C,none,63,63,61
669,male, B,none,63,53,44
670,male, C,none,59,49,46
671,male, E,none,49,43,35
672,female, D,none,75,84,86
673,female, C,none,34,47,45
674,female, B,none,53,70,69
675,male, B,none,63,56,60
676,male, C,none,75,69,65
677,male, E,none,63,61,62
678,female, C,none,70,72,75
679,female, C,none,61,73,70
680,male, C,none,74,61,59
681,male, D,none,57,49,48
682,male, C,completed,41,52,47
683,male, D,none,87,80,76
684,male, C,none,69,71,62
685,male, C,none,69,77,70
686,male, D,completed,58,56,56
687,female, B,completed,47,69,62
688,male, D,completed,78,69,71
689,female, B,completed,54,61,71
690,male, C,none,36,27,26
691,male, B,completed,94,92,92
692,female, D,none,68,84,80
693,female, E,none,90,88,84
694,male, A,none,57,57,53
695,male, D,completed,96,95,90
696,male, B,completed,68,63,62
697,female, C,completed,52,64,63
698,male, E,none,90,76,73
699,male, C,completed,71,82,75
700,female, C,completed,58,69,74
701,male, C,none,41,39,34
702,male, D,completed,43,37,43
703,male, D,none,85,70,71
704,male, B,none,71,72,69
705,female, A,none,72,70,72
706,male, D,none,70,62,66
707,female, D,none,89,100,100
708,female, E,none,92,86,82
709,male, E,completed,80,79,81
710,male, C,none,80,70,60
711,female, B,none,56,64,59
712,male, E,none,93,86,73
713,male, C,completed,49,37,41
714,female, E,none,59,57,58
715,female, C,completed,64,74,75
716,male, D,none,73,66,59
717,female, B,completed,82,86,90
718,male, D,none,48,43,41
719,female, A,completed,51,64,62
720,female, E,completed,38,46,43
721,male, B,none,45,50,42
722,female, A,completed,83,92,95
723,female, B,completed,45,57,56
724,male, D,none,66,64,62
725,male, D,completed,60,62,57
726,male, C,none,49,47,49
727,male, D,none,80,84,86
728,male, E,none,75,68,66
729,male, B,completed,57,68,61
730,female, B,none,25,36,37
731,male, E,none,90,87,81
732,female, D,none,63,70,71
733,male, E,none,100,91,86
734,male, C,none,76,68,66
735,female, B,none,52,58,53
736,female, B,completed,81,86,93
737,male, C,completed,90,89,87
738,male, D,none,83,82,81
739,female, B,none,61,73,69
740,female, E,completed,79,69,75
741,male, B,none,52,53,51
742,female, B,completed,62,65,67
743,female, D,none,85,90,84
744,female, E,completed,74,96,95
745,male, C,none,83,85,78
746,male, C,none,78,72,72
747,female, C,none,41,43,40
748,female, A,none,77,91,87
749,male, C,none,95,99,91
750,female, B,none,50,68,66
751,male, C,none,74,76,70
752,female, D,completed,74,93,93
753,male, E,none,70,62,61
754,male, D,none,61,59,54
755,female, A,completed,94,100,100
756,female, D,none,66,84,77
757,female, D,none,83,88,93
758,male, D,none,75,63,60
759,male, D,completed,56,65,63
760,female, B,none,66,88,83
761,female, B,none,61,69,66
762,male, C,completed,70,79,73
763,male, C,none,57,59,53
764,female, C,completed,78,89,90
765,female, C,none,62,76,67
766,male, C,completed,64,53,49
767,female, B,none,55,66,65
768,female, D,none,72,83,83
769,male, A,none,49,48,42
770,female, D,none,62,60,63
771,male, B,none,76,73,68
772,female, C,completed,73,86,85
773,female, C,completed,72,76,78
774,male, C,none,85,85,76
775,male, A,none,71,68,65
776,female, C,none,28,38,31
777,male, C,none,41,42,38
778,male, E,none,78,72,68
779,male, C,none,48,52,44
780,male, C,none,38,51,47
781,female, A,completed,91,100,100
782,female, D,none,71,81,80
783,female, D,none,84,87,92
784,male, E,completed,63,60,63
785,female, A,completed,70,78,87
786,male, B,completed,48,52,57
787,male, D,completed,68,72,73
788,female, D,none,84,84,87
789,male, D,none,61,62,60
790,male, C,none,62,59,62
791,female, C,none,66,78,83
792,female, C,completed,52,65,71
793,female, D,completed,68,75,73
794,male, D,completed,62,68,71
795,male, E,completed,90,88,84
796,female, A,none,42,50,44
797,male, D,completed,74,90,89
798,male, B,completed,62,61,61
799,male, C,none,56,55,50
800,male, C,none,64,52,54
801,male, D,completed,79,84,80
802,female, C,none,44,65,63
803,female, B,completed,69,94,87
804,male, A,none,53,48,48
805,male, C,none,74,69,61
806,male, C,none,49,55,48
807,female, D,none,57,71,71
808,female, D,none,61,72,64
809,female, C,none,65,88,84
810,female, C,none,51,60,52
811,female, C,none,49,51,41
812,male, B,none,56,65,56
813,male, D,none,65,62,63
814,male, D,none,70,64,62
815,male, D,none,91,95,88
816,female, D,completed,48,56,64
817,female, C,completed,94,99,100
818,male, B,none,77,76,73
819,female, D,none,59,78,75
820,female, C,none,57,75,70
821,female, C,none,76,82,74
822,male, D,none,65,63,64
823,female, B,completed,75,75,83
824,male, D,none,70,66,65
825,male, C,completed,79,79,70
826,male, E,completed,100,100,100
827,female, A,completed,83,96,99
828,female, C,none,70,84,78
829,male, E,completed,97,80,88
830,female, E,none,33,32,35
831,male, B,none,38,40,41
832,male, C,completed,46,51,47
833,female, D,none,13,36,37
834,male, A,none,85,83,78
835,female, B,none,79,79,80
836,female, B,none,76,81,79
837,female, C,completed,53,70,65
838,male, A,completed,68,70,63
839,male, D,completed,67,70,70
840,male, E,completed,100,84,88
841,male, C,none,54,48,45
842,female, E,none,72,73,70
843,male, A,completed,91,97,95
844,male, D,completed,87,81,86
845,female, D,none,66,75,74
846,male, C,none,65,66,64
847,female, E,completed,41,56,53
848,female, C,none,67,69,65
849,male, E,none,94,89,86
850,female, B,completed,57,70,68
851,male, A,none,89,83,80
852,male, A,completed,77,73,80
853,male, C,none,57,60,50
854,male, D,completed,72,72,72
855,male, D,completed,98,94,95
856,female, D,none,87,97,100
857,male, C,none,61,57,55
858,female, C,none,85,100,97
859,female, D,none,81,85,91
860,female, D,completed,74,84,79
861,male, C,none,98,92,90
862,female, D,none,86,84,89
863,male, C,completed,85,81,82
864,male, C,none,68,71,63
865,female, E,completed,66,78,77
866,male, B,completed,75,74,71
867,male, C,none,79,57,58
868,female, B,none,59,85,82
869,male, B,none,60,62,58
870,male, D,none,69,60,54
871,female, B,none,49,54,58
872,male, D,none,62,44,52
873,female, E,completed,70,84,83
874,male, D,none,71,57,60
875,male, C,none,71,69,65
876,female, C,none,50,59,54
877,female, B,none,52,55,57
878,male, E,completed,75,65,66
879,female, C,none,51,64,63
880,male, C,none,64,48,50
881,female, A,completed,65,76,72
882,male, B,none,99,81,87
883,female, B,none,60,62,58
884,female, B,none,70,78,80
885,male, A,completed,77,76,77
886,male, B,none,37,28,23
887,male, E,none,73,73,61
888,female, B,completed,53,74,75
889,female, B,none,67,58,62
890,female, B,none,67,79,80
891,male, B,none,51,57,50
892,male, D,completed,64,71,70
893,male, E,none,55,42,43
894,male, D,completed,55,39,51
895,male, E,none,86,77,78
896,female, B,none,71,88,85
897,male, C,none,71,63,64
898,female, C,none,51,67,69
899,female, E,completed,75,76,85
900,male, C,none,45,31,27
901,male, B,none,59,54,48
902,female, E,none,64,69,68
903,male, A,completed,78,69,73
904,male, D,none,59,61,58
905,male, E,none,80,70,71
906,male, B,completed,68,82,77
907,female, B,none,77,81,79
908,male, C,none,66,67,64
909,female, C,completed,26,44,46
910,male, D,completed,80,66,69
911,female, D,none,48,62,61
912,female, A,none,52,64,55
913,female, D,none,54,64,64
914,female, C,completed,59,68,67
915,male, D,none,77,62,65
916,female, B,none,64,70,69
917,male, D,none,83,72,68
918,male, E,none,70,73,69
919,male, C,none,72,68,67
920,female, B,none,83,78,79
921,female, B,none,52,58,57
922,female, C,completed,53,73,74
923,male, D,none,55,55,55
924,male, C,none,65,63,61
925,female, E,none,60,67,64
926,male, E,completed,64,62,59
927,male, C,none,71,72,69
928,male, C,completed,61,71,65
929,male, D,none,61,55,58
930,female, C,none,65,74,79
931,female, D,completed,71,83,89
932,male, E,none,48,49,44
933,male, E,completed,75,80,75
934,male, D,none,54,66,65
935,female, C,none,70,64,65
936,male, D,none,91,77,72
937,female, D,completed,33,44,50
938,female, B,none,45,50,41
939,male, A,none,45,33,32
940,male, D,none,62,61,57
941,male, E,completed,92,79,77
942,female, D,none,74,75,79
943,female, C,completed,81,79,83
944,male, C,none,76,71,66
945,female, C,completed,57,72,73
946,male, A,none,63,61,55
947,female, D,completed,57,62,73
948,female, B,completed,46,65,64
949,male, E,completed,49,50,45
950,female, D,none,54,60,65
951,male, C,completed,89,87,90
952,male, D,completed,77,70,78
953,female, C,none,46,63,60
954,male, B,completed,66,59,70
955,female, C,none,48,63,53
956,male, D,completed,83,76,81
957,male, C,completed,69,75,74
958,male, E,none,73,52,54
959,female, D,none,43,59,59
960,male, D,completed,91,84,83
961,male, C,completed,49,58,55
962,male, B,none,87,86,84
963,male, B,completed,46,46,44
964,female, D,completed,63,61,71
965,male, E,none,100,83,86
966,female, E,none,86,87,89
967,female, A,completed,55,73,70
968,female, E,none,84,100,99
969,female, B,none,39,51,48
970,male, B,none,67,57,52
971,female, D,completed,85,100,97
972,male, C,none,64,51,44
973,female, E,none,81,77,74
